2017-04-19 11:52:59,483 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: SpringIntoAction:SpringIntoAction:0.0.1-SNAPSHOT @ C:\Users\gomesand\workspaceSpringIntoAction\SpringIntoAction\pom.xml.
2017-04-19 11:53:02,308 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-19 11:53:02,318 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-19 11:53:02,334 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-19 11:53:02,335 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\gomesand\workspaceSpringIntoAction\SpringIntoAction\src\test\resources
2017-04-19 11:53:02,372 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringIntoAction/src
2017-04-19 11:53:02,373 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /SpringIntoAction/src overlaps with sources folder /SpringIntoAction/src
2017-04-19 11:53:02,381 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /SpringIntoAction/src/test/java because it overlaps with /SpringIntoAction/src
2017-04-19 11:53:02,643 [Worker-19] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-04-19 11:53:03,914 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: SpringIntoAction:SpringIntoAction:0.0.1-SNAPSHOT @ C:\Users\gomesand\workspaceSpringIntoAction\SpringIntoAction\pom.xml.
2017-04-19 11:53:04,597 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-19 11:53:04,606 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-19 11:53:04,622 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-19 11:53:04,623 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\gomesand\workspaceSpringIntoAction\SpringIntoAction\src\test\resources
2017-04-19 11:53:05,139 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringIntoAction/src
2017-04-19 11:53:05,139 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /SpringIntoAction/src overlaps with sources folder /SpringIntoAction/src
